,OBJECT_ID,drainage_score,slope_pct,clay_score,dist_to_water,drainage_norm,slope_norm,proximity_norm,clay_norm,p_risk_raw,p_risk
count,2661.0,2429.0,2661.0,2416.0,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0
mean,69264976.05449079,3.407986825854261,3.300075159714393,2.097682119205298,18845.724127047568,0.5620693974696229,0.20722785920080172,0.03350586463507762,0.6962294876612802,0.36805014773211275,36.814205186020295
std,17370.501342784013,1.3218922485569953,3.74728673697193,0.5744551905855703,8438.4738281376,0.21136109024700178,0.18346644262945924,0.13159387063594466,0.18269649276463085,0.08510862400383934,8.511041546838918
min,69236809.0,2.0,0.5,1.0,56.93036989027362,0.3333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.18333333333333332,18.3
25%,69244617.0,2.0,1.0,2.0,12142.247104972263,0.3333333333333333,0.06666666666666667,0.0,0.6666666666666666,0.31666666666666665,31.7
50%,69279377.0,4.0,3.5,2.0,20139.48058708583,0.6666666666666666,0.23333333333333334,0.0,0.6666666666666666,0.35833333333333334,35.8
75%,69280349.0,4.0,3.5,2.0,26098.081695410034,0.6666666666666666,0.23333333333333334,0.0,0.6666666666666666,0.4,40.0
max,69450818.0,6.0,45.0,3.0,31605.006403642077,1.0,1.0,0.9886139260219453,1.0,0.7138201481721529,71.4
